global_id,x,y,z,value0
0,0.015624999999999997,0.49999999999999989,0.5,0.84102512000839769
1,0.046875,0.49999999999999989,0.5,0.55752028454415214
2,0.078125,0.49999999999999989,0.5,0.34355569548351395
3,0.10937500000000001,0.49999999999999989,0.5,0.19978946241389867
4,0.140625,0.49999999999999989,0.5,0.11093144743377172
5,0.171875,0.49999999999999989,0.5,0.059329338063941514
6,0.20312499999999997,0.49999999999999989,0.5,0.030769138806611401
7,0.234375,0.49999999999999989,0.5,0.015553030712308564
8,0.265625,0.49999999999999989,0.5,0.0076930595440994724
9,0.296875,0.49999999999999989,0.5,0.0037353846629698826
10,0.328125,0.49999999999999989,0.5,0.0017849270418446178
11,0.359375,0.49999999999999989,0.5,0.00084109608839861194
12,0.390625,0.49999999999999989,0.5,0.00039151066961371335
13,0.42187499999999994,0.49999999999999989,0.5,0.00018027012788782417
14,0.45312499999999994,0.49999999999999989,0.5,8.2204920468404854e-05
15,0.48437500000000006,0.49999999999999989,0.5,3.7162024460135598e-05
16,0.515625,0.49999999999999989,0.5,1.6668591652254228e-05
17,0.546875,0.49999999999999989,0.5,7.4236137047124014e-06
18,0.578125,0.49999999999999989,0.5,3.2849227571734621e-06
19,0.609375,0.49999999999999989,0.5,1.4450051555719047e-06
20,0.64062499999999989,0.49999999999999989,0.5,6.3220739710512918e-07
21,0.671875,0.49999999999999989,0.5,2.7522141390255129e-07
22,0.703125,0.49999999999999989,0.5,1.192621538196336e-07
23,0.734375,0.49999999999999989,0.5,5.1459782966600809e-08
24,0.76562499999999989,0.49999999999999989,0.5,2.2116133064423877e-08
25,0.796875,0.49999999999999989,0.5,9.4698141468598496e-09
26,0.828125,0.49999999999999989,0.5,4.0406741997023043e-09
27,0.85937499999999989,0.49999999999999989,0.5,1.7180836285840314e-09
28,0.890625,0.49999999999999989,0.5,7.2718021342061235e-10
29,0.921875,0.49999999999999989,0.5,3.0418062688320655e-10
30,0.95312499999999989,0.49999999999999989,0.5,1.2036421234324936e-10
31,0.984375,0.49999999999999989,0.5,3.1729184270487056e-11
