global_id,x,y,z,value0
0,0.015624999999999997,0.49999999999999989,0.5,0.8621885502647284
1,0.046875,0.49999999999999989,0.5,0.60723306315388281
2,0.078125,0.49999999999999989,0.5,0.40082521140410243
3,0.10937500000000001,0.49999999999999989,0.5,0.2503446212955216
4,0.140625,0.49999999999999989,0.5,0.14923430353227576
5,0.171875,0.49999999999999989,0.5,0.085529118677725238
6,0.20312499999999997,0.49999999999999989,0.5,0.047409657078822887
7,0.234375,0.49999999999999989,0.5,0.025540701605127013
8,0.265625,0.49999999999999989,0.5,0.013425330987699196
9,0.296875,0.49999999999999989,0.5,0.0069078817019117347
10,0.328125,0.49999999999999989,0.5,0.0034885740557159257
11,0.359375,0.49999999999999989,0.5,0.001732984196503816
12,0.390625,0.49999999999999989,0.5,0.00084837881786319449
13,0.42187499999999994,0.49999999999999989,0.5,0.00040993374024745781
14,0.45312499999999994,0.49999999999999989,0.5,0.00019576953407667483
15,0.48437500000000006,0.49999999999999989,0.5,9.2508270882717505e-05
16,0.515625,0.49999999999999989,0.5,4.3296076460813294e-05
17,0.546875,0.49999999999999989,0.5,2.0087285172267432e-05
18,0.578125,0.49999999999999989,0.5,9.2453605512557779e-06
19,0.609375,0.49999999999999989,0.5,4.2241759635276332e-06
20,0.64062499999999989,0.49999999999999989,0.5,1.9170253679437652e-06
21,0.671875,0.49999999999999989,0.5,8.6457982200699037e-07
22,0.703125,0.49999999999999989,0.5,3.8767959648471059e-07
23,0.734375,0.49999999999999989,0.5,1.7290577981504508e-07
24,0.76562499999999989,0.49999999999999989,0.5,7.6731569442688839e-08
25,0.796875,0.49999999999999989,0.5,3.3892746158481502e-08
26,0.828125,0.49999999999999989,0.5,1.4904442416873559e-08
27,0.85937499999999989,0.49999999999999989,0.5,6.5252873248469549e-09
28,0.890625,0.49999999999999989,0.5,2.8406670924520689e-09
29,0.921875,0.49999999999999989,0.5,1.2199988903613515e-09
30,0.95312499999999989,0.49999999999999989,0.5,4.9368446119851327e-10
31,0.984375,0.49999999999999989,0.5,1.3194058755838982e-10
